value|word_ids|
000|57520;70815;71174|
100|57520;71174;88068;123983|
1000|122167;143346|
100ème|121232|
1185|40158|
140|82172|
1583|92079|
1602|92079|
1852m|59699|
1868|88281|
18ml|124399|
1912|88281|
1926|132713|
1989|132713|
2ème|117865|
303m|124400|
400|132779|
600|48794;71778|
618|150043|
77ème|70176|
794|40158|
907|150043|
abaissement|130343|
abaissé|42227|
abandon|128170|
abandonné|155734|
abandonnée|36565|
abattu|30086|
abc|78795|
abdominale|38950|
abjection|42235|
ablutions|116365|
aboard|110100|
abolition|36432|
abominable|49087|
abondant|45880|
abondante|38442|
abonnement|77413|
aborigène|31625|
abr|18805|
abrasion|86433|
abrupte|84947|
abréger|39392|
abrégé|29868;136235|
abrégée|132727|
abrégées|136932|
abréviation|27324|
absence|67921;68942|
absolus|359|
absorption|84735|
abstraite|70127|
absurde|7044|
absurdité|137933|
abuser|74559|
abusif|74559|
abusive|109730|
abîmée|98565|
académique|70127|
accabler|35693|
accentuation|140241|
accessoire|26962;29377|
accessoires|158106|
accident|78722;116388;116634|
accidenté|105563|
accommodant|102251|
accomoder|140689|
accompagnant|29377|
accompagnateur|105090;145406|
accompagner|1667|
accomplir|156532|
accomplissement|56216;63665;63775|
accord|30936;94832;126755;128420;131635|
accorder|37503|
accordéon|144129|
accouchement|118747|
accoucher|98817|
accourir|44805|
accro|37503|
accroissement|161484|
accueil|63726;110486|
accumulateur|13885|
accumulation|114342|
accumuler|150962|
accusation|48082|
accéder|70402|
accélération|65311|
acharner|83832|
acharné|65010|
achat|45031|
acheter|59325;89318|
acheteur|78779|
achèvement|63665;93710|
acide|24271;51160;100727;115337;117481;132465;137926|
acidité|118309|
acier|79619;146393;147445|
aciérie|120524|
acompte|134902|
acquiescement|131635|
acte|54409;162038|
actes|52988|
actifs|118747|
action|62199;63775;66655;90368;131598;147119|
actionnaires|58138|
activer|60504|
activité|11564;15716;44805|
activités|66657|
actuel|32177;75945|
acuité|23017;88475;123430|
acétique|117481|
adaptation|44498;57081|
adapter|37503|
adapté|29318|
addition|58935;111366|
additionnel|55519|
adhérence|97063|
adhésive|123532|
adipocire|129309|
adjudant|56865|
administration|32177|
admirable|133557|
admiration|67698;84366;128170|
admonestation|80936;123852|
admonester|119254|
adonner|37503|
adoptifs|134686|
adopté|93622|
adoration|67698;128551|
adresse|79178;83227;94394|
adultère|28808;89568|
adversité|130233|
adéquat|103200|
affaiblir|150549;153609|
affaiblissement|130343|
affaire|6511;45031|
affaires|9235;9263;125904;131182;131184;133548|
affection|52958;96512|
affectionner|52058|
affichage|46675|
affiche|9513;78416|
affilié|10647|
affirmation|31790|
affixe|35683|
affliction|15208;69439|
affranchissement|159284;160126|
affront|13692|
affuter|68392|
age|72938|
agence|35678;79217|
agent|46647|
aggression|26652|
agile|143989|
agilité|9476|
agir|66146|
agitation|122378;132606|
agiter|154612|
agité|85729;137060;154389|
agreement|128420|
agression|118562|
agressivité|133747|
agricole|39511|
agriculture|17741;100144|
agripper|36966|
agréable|5856;36097;76437|
aide|13806;43316;54626;104653;110685|
aigre|33408;137926|
aigreur|118309|
aigu|62170;83975;160836|
aiguille|12798;71706;110077;142922;143190|
aiguilles|126806|
aiguillonner|64871|
aiguisé|51582|
aiguë|76437|
aigû|22897|
ailes|35902;115113|
ailleurs|66049|
aimable|29697;97099|
aimant|19236|
aimantée|110077|
aimer|52058;138375|
ainsi|79253|
air|4299;38145;47403;69958;82563;129309;130810;134127;135680;137200;141176;152354|
aire|149648|
airs|138447|
aise|52098;69538|
ajourner|137244|
ajoutée|7707;26587|
ajuster|37503|
alangui|92376|
alarme|38659;67680|
alchimie|111112|
alcool|104586;148971|
alentours|35028;71066|
algues|73092;136659|
alias|43751|
alibi|4807|
alignées|146631|
alimentaire|29280;57828|
alimentation|157972|
alimenter|40936|
allemagne|20433|
allemand|20423;97774;154234|
aller|64871;83460;152609|
allez|101858|
alliance|50535;88587|
allier|60265;77999|
allitération|149371|
allocation|26163|
allocution|80931;142308|
allonger|99349|
allons|52429|
allumette|85428|
allure|29206;92256|
alluviale|16392;16393|
allègrement|51473|
allée|137312|
allégeance|72263;83922|
alors|135356;135684|
alpin|117870|
alpiniste|156214|
altercation|161546|
alternativement|140707|
alterner|48788|
altesse|41385|
altération|73282|
amabilité|75025;101147|
amaterasu|2917|
amateur|2791;92145|
ambiance|94268;156648|
ambigu|6311|
ambigü|95509|
ambition|37071;141306|
amende|91067|
amer|33408;82281;97901|
amertume|152453|
ameublement|15086|
ami|10147;21999;64505|
amicale|18085;75765|
amie|29439|
amincir|45277|
amitié|75025;96507|
amnistie|141594;147416|
amnésie|68080|
amorçage|119156|
amour|1366;1714;13706;42874;54234;66879;73498;73508;110999|
amoureuse|73548|
amplitude|128172|
amulette|33067|
améliorer|89714;153364|
américain|1833;120247|
améthyste|93845|
analgésique|14292|
analogie|136348|
analphabétisme|92214|
analyse|125906|
analytique|11673|
anamnèse|71828|
ananas|106054|
anatomie|16504;58973;105363|
ancien|28300;28388;31876;41226;73328;84587;84968;85235;85238;89030;110679;124277;156239|
ancienne|29530;33056;73108;73437;85238;122624;124399;124400|
anciennes|161240|
ancienneté|31876;97142;97144|
ancêtres|135789|
anecdote|52093|
ang|68749|
anglais|29423|
anglaise|123532;156047|
angle|20883;22897;145251|
angoisse|128272;153207|
anguille|3278|
angulaire|135783|
angélus|7657|
animal|92913;107097;155683|
animale|15246|
animateur|88068|
animation|51473|
animaux|117145|
annales|97123|
annexe|11715;29377|
anniversaire|70176;73870;121232;142851|
annuel|97103|
annuelles|116675|
année|16717;30801;45923;48736;87818;97158;149652;155884|
anoblissement|57214|
anpe|134358|
ans|52597;125023|
antarctique|95993|
anthologie|86484|
anthropomorphe|114327|
anti|65966|
antibactérien|78357|
antidote|31046|
antipahie|66832|
antique|73328|
antiquité|103714;115661|
antécédents|161262|
anxieux|135591;152307|
anxiété|43238;73975;128272|
apathie|17731|
apathique|92376|
aperçu|29868;104179;144941|
apoplexie|134666|
appareil|52514;72931;88068|
appareils|15086|
apparence|29206;67745;88729;89918|
apparences|91135|
apparent|89918|
apparition|10720;133665|
apparitions|133665|
appel|4332;145545;156861|
appeler|12296;89318|
appendice|16504|
application|71226;110553;120713;131926;146791|
appliquer|110553|
appoint|26962|
apposition|21656|
apprenant|80936|
apprendre|20720;87479;147313|
appris|10440|
apprivoiser|96507|
approbation|118032|
approche|78295|
approfondi|84926|
approprié|103200|
appropriée|149206|
approuver|70402|
approvisionnement|34427;38517|
approximativement|92209;104179|
apprécier|77999;138375|
apprécié|14055|
après|2455;4721;13903;21313;56981;66657;69700;131715;135327;157353;158618;159113|
apte|30453;151285|
aptitude|79162|
aquatique|91709|
arabesque|64287|
arable|77329|
araser|72011|
arbitraire|122210|
arbitre|114393|
arborigène|7485|
arbre|56764;58372;67855;73713|
arbres|9977;138028|
arc|24115;84652;158997|
archaïque|73328|
archaïsme|125424|
arche|73704|
archéologie|59065|
ardemment|126769|
ardent|124949|
ardeur|7365;18179;22913;51149|
argent|2559;32648;32682;32697;60020;73258;86569;133518;141278|
argot|41633|
argument|113572;113583;136067|
arme|57415;57658|
armes|12681;92411;149544|
armoiries|92411|
armure|79618|
armée|27324;46819;85008;105498;115113;125307;144789;161709|
arogance|135260|
arracher|45036|
arraché|128485|
arrangement|58402|
arranger|37008|
arrangé|162184|
arrestation|43997;78967|
arrivée|13391|
arrière|9690;35264;42263;89891;94963|
arriération|128426|
arrogance|77639;105320|
arrondissements|34443|
arrêt|83468;134394;140992|
arrêter|8111;126222|
art|7041;47974;57437;123192|
article|14212;17054;28388;50710;60322;78941;156690|
articles|71727|
artifice|9946;57260|
artificielle|54446;54524;150769|
artillerie|45635|
artilleur|45635|
artisan|88522|
artiste|23211|
artistique|55700|
arts|84652|
arête|152845|
arômes|78949|
ascendant|153882|
asie|41542;149687|
aspect|9622;89918;137054|
asphalte|5644|
aspiration|37071;141306|
assaisonnement|23693|
assassinat|119300|
assaut|147089|
assemblée|58138;68239;150435|
assentiment|133112|
asseoir|101853|
asseyez|101853|
assez|80061;104179;152998;158606|
assidue|59478|
assiduité|131926|
assiette|104186;104621|
assistance|13806;29270;55741;104653;118032|
assistant|81652|
assister|126498|
association|124708|
assoupir|153699|
assurance|149689|
assurer|89714|
astringence|124964|
astrologie|45198;155856;155884|
astronaute|151943|
atmosphère|94268|
atoll|63564|
atomique|41239|
atomiseur|27555|
atrocité|10584;160526|
attache|37830|
attachement|9990;134388|
attacher|96507;96512;160150|
attaché|10818|
attaque|83759;94740;109360;122115;134666;156647|
attaquer|93438|
attardé|128425|
atteinte|62122|
attendance|112468|
attendre|55398;85443;102221;130875|
attente|15063;124949|
attention|28861;54174|
attentive|41981|
attentivement|41981;55398;66894;70957|
atterrissage|78295;95772;97685|
atterrissant|153141|
attirail|151169|
attitude|50087;138439;158553|
attraction|93091|
attraper|39258;89318|
attrayant|90700|
attribution|57250|
aube|2032;35663;67315;75319|
auberge|74297|
aucun|110700;144972|
audace|70773;77639|
audacieux|28816|
audience|23374;24935;36364;60049;127959|
augmentation|11193;31281;114342;144720|
augure|67091;102251|
aujourd|75945|
aumône|72330|
auparavant|104590|
aussi|152223|
austère|140827|
autant|48961;135657|
auteur|71676;102163|
authentique|57156|
auto|25123;53341;54942;54947|
autobiographie|53574|
autochtone|31625|
autocratie|123032|
autographe|98490|
automation|104086|
automatisation|104086|
automne|2183;133761;134127|
autonome|54859|
autorité|23375;31876;62685|
autorités|149207|
autoroute|36888|
autour|39370;56224|
autre|8879;13903;21313;21814;52054;56981;75042;89746;122892;131715;146430|
autres|47469|
aux|33408;62902;80931;96956;128772;132289;153008;160222|
aval|66341;126872|
avalanche|21311|
avaler|29479|
avance|78941;134902;161358|
avancement|132199|
avancer|99392|
avancé|77426|
avant|27529;38526;51551;99392;104590;123041|
avare|66724;112496;133518|
avec|1474;6942;6963;8111;8828;16718;37056;39258;41982;44765;51473;52514;59504;60020;66601;71676;87818;99526;101410;104179;119820;140416;140689;143775;151642;151916;152834;152991|
aventure|10656|
avertissement|585;80936;94226|
aveugle|13706;88718;92914|
avide|79302|
avilissement|130343|
avion|78295|
avions|78495|
aviron|10213|
avisé|151330|
avocats|46222|
avoir|4721;9355;24935;35880;84643;88729;96512;102221;102618;116634;135680;145006;151642;152998;158606|
avoisinantes|63827|
avortement|18332;98822|
awa|33262|
axe|10849;13688;55231;124135;127114;139983|
ayant|115546;132779|
azimut|128276|
aérostat|67228|
aéré|93862|
aîné|13054;13061;13077;13085;32532;32903|
aînée|32863|
baby|74947|
bac|8136;155205|
badge|7038|
badinage|44765|
badiner|44765|
badminton|38180|
bagages|1833;145342;145344|
baguette|122704|
baguettes|39258|
baie|50889|
baignoire|158670|
bail|135792;135798|
bain|89318;101508;158618|
bains|158706|
baiser|80190|
baisser|28681|
bal|10198;12460|
balance|7765;10538;40374|
balancer|159216|
balayeur|121155|
balcon|8699|
baleine|31152;31177;37307|
baleinier|44057|
ball|8136|
balle|10198|
balles|99526|
ballet|7790|
ballon|67228|
ballotement|44765|
balloter|159216|
balustrade|109835|
bambou|118753;124350;127027;142108;142144|
bambous|13916;142110;142163|
bambouseraie|13916|
banal|10011|
banalité|10011;92195|
banc|5266;8490;35374;95296;140238|
bande|34808;68652;111319;123532;143333;149013;150090|
bang|8111|
bannissement|45503|
bannière|120247|
banque|97784|
banquet|24293;83723;132900|
banquise|115204|
baraquement|38001|
barbare|7485;7598;10584;155501|
barbares|95749|
barbarisme|7545|
barge|110100|
baron|18068|
barril|7802|
barrique|148971|
barrière|121790|
bas|22933;31189;72785;82878;110993;121186;126808;126872;144229;144608|
basané|5194|
basculer|42171;42172|
base|8136;34460;34681;42152;57065;114393;153372;162024|
baseball|114393|
baser|57065|
basse|42080;62908|
bassesse|32344|
bassin|14974;123185;137360;142204|
basé|128420|
bataille|158828|
bateau|10213;27418;27462;31203;57143;65110;73106;115254;123349;133413;134476;158481;159742|
bateaux|137055;140103;140104;144428|
batte|8136|
batterie|13885|
batteuse|17741|
battre|35902;94742;151729|
battu|71489|
bavardage|86535|
bazar|8155|
beau|30131;32532;32903;118541;119820;138447;153395|
beaucoup|7708;8828;140241;152991|
beauté|9622;50710;50980;60265;143094;145138;156648|
beaux|115157|
beffroi|132399|
belgique|109752|
belle|32565;32863;60269;100113;110507|
belles|56908|
belliqueux|131535|
bento|101210|
berceau|39456|
berceuse|74944|
berger|10000;43739;94372|
bergère|10000;43739|
besoin|65992;128317|
beurre|33408|
beuverie|132900|
bible|6764|
bibliographie|131351|
bibliothèque|130759|
bibliothécaire|129650|
biconvexe|115099|
bien|3861;25139;28639;35876;45880;52429;63775;72558;77992;104595;126755;151642;157841;161654|
bienfait|145495|
bienfaiteur|147417|
bienfonds|144458|
biens|28392;50428;58937;118747;160277|
bientôt|6756|
bienvenue|55408;158238|
bijou|132942|
billet|16400;19484;122167;134521;134523|
binoculaire|136112|
biologique|119667|
biraciale|16718|
biscuit|80649|
biscuits|87818|
biseau|152834|
bistrot|139542|
bizarre|70232|
bière|7317;9185|
blague|61425;126872|
blanc|37357;81908;82604;92709;126816;128928|
blanche|37307;157048|
blanches|149544|
blanchir|46649|
blanchissage|81439|
blanchissant|46647|
blasphème|10857|
blatte|449|
blessure|82438;119066|
bleu|4131;75023;100169|
bleue|58244|
blindage|79618|
blockhaus|87231|
blonds|71491|
blâmer|84645|
blé|33262;44550;89141;93276|
bobine|63961|
boeuf|155644|
boire|20686;29479;31132;34726;35418;81245;89318|
bois|46844;51762;63507;69342;87231;91876;91892;128613;149093|
boisson|7639;120793;152617|
bol|10198|
bombe|41239|
bon|29073;35418;40936;45031;53363;67091;69401;72519;78261;78797;81908;101257;102251;111078;123192;124964;156690;161654|
bondir|38145;101438|
bondissant|108910|
bonds|146625|
bondé|9631;15432;32888;35693;86762|
bonheur|115783;125023;130346|
