value|word_ids|
000|33985;53062;53088;53731;53815;54081;54082;54202;65741;65826;81213;99784;117515;135780;140368;141007;141769|
018|142925|
033|142925|
03cm|58841|
100|176;33985;53022;53036;53119;54202;65741;117515;140368|
1000|53039;54220;58702;140323;140325|
1004|17123;71944|
100m|142431|
101|144295|
1012|17795;71944|
1017|17795;72180|
1021|72180|
1037|17513|
1040|17392;17513|
1044|17392;73099|
1046|26164;73099|
1053|26164;167316|
1058|89334;167316|
1065|62640;89334|
1069|27337;62640|
1074|27337;64128|
1077|64128;64465|
108|136456|
1081|25909;64465|
1084|25909|
1087|71620|
1094|67396;71620|
1096|25780;67396|
1097|25780;64651|
1099|64651|
10e|118112|
10mo|54126|
1110|167118|
1113|26028;167118|
1118|26028|
1120|51860|
1124|51860;167421|
1126|19360;167421|
1131|19360;167957|
1132|167957|
1141|25933|
1142|25933;89544|
1144|89544|
1151|113588|
1154|97353;113588|
1156|97353|
1160|26084|
1161|26084;121083|
1163|17242;121083|
1165|17242;26030|
1166|26030|
1169|73391|
1171|73391|
1175|3892|
1177|3892|
1181|182604|
1182|64813;182604|
1184|36170|
1185|12640;36170;64813|
1190|12640;78412|
1199|78412;151699|
11a|175750|
11p|59738|
1200kmh|98545|
1201|78465;151699|
1204|36058;78465|
1206|36058|
1219|64368|
1222|64368;64436|
1224|36096;64436|
1225|36096|
1227|4379|
1229|4379|
1239|26788|
1240|26788;113496|
1243|71456;113496|
1247|52111;71456|
1249|52111;78095|
1256|78095|
1257|151842|
1259|151842|
1260|12593|
1261|12593;88733|
1264|88733|
1293|26041|
1299|26041;151138|
1302|78148;151138|
1303|67153;78148|
1306|67153;169681|
1308|27087;169681|
1311|27087;120971|
1312|120971|
1317|12945|
1319|12945;35569|
1321|35569;36028|
1324|36028|
1326|74341|
1329|74341|
1333|5952;107864|
1334|78452|
1336|27046|
1338|78452|
1340|27046;90006|
1345|64682|
1346|90006|
1350|64682|
1352|12908|
1356|12908;26863|
1361|26863|
1362|64181|
1368|64181;120937|
1370|78818|
1372|12646;78818|
1375|12646;26209;120937;167454|
1379|26209|
1381|26203;91595;167454|
1384|26203;91595|
1387|69251|
1389|69251|
1390|101721|
1394|101721;121000|
1415926|27568|
1428|121000|
1429|26000|
1441|26000|
1444|12583|
1449|12583;52810|
1452|52810;96883|
