Index|Romaji construction|Kana construction|Alternate Spellings|Common|Extra keywords Jap|Preposition|Kanji Root|Latin Root|Exception index|MeaningEN|Extra keywordsEN|MeaningFR|Extra keywordsFR|MeaningES|Extra keywordsES
17711|wa ... ga ii desu|～は...がいいです||1|wa, ga|||||104||188||177|
17712|wa ... ga ...|～は...が...||1|wa, ga|||||105||189||178|
17713|de ... en|～で...円||1|de, en|||||106|worth, priced, price, money|190|valeur, prix, argent|179|valor, precio, dinero
17714|de utteiru|～で売っています||1|de utteimasu|||||107||191||180|
17715|ni suru|～にする||1|ni shimasu, nisuru|||||108|will take, will order|192|va prendre, va commander|181|tomará, ordenará
17716|mo sou|～もそう||1|mosou|||||109||193||182|
17717|[verb] [noun]|～||1|ga|||||110||194||183|
17718|toori|～とおり||1|doori, toori ni, doori ni|||||112||195||184|
17719|hou ga ii da|ほうがいいです||1|hou ga ii desu, hou ga, ta hou ga, hougaii|||||113||196||185|
17720|ikura ...te mo|幾ら...ても||1|de mo, demo, temo|||||121||197||186|
17721|... to ... wa chigau|...と...は違う||1|chigau, chigaimasu|||||554||510||504|
17722|ii desu ka|いいですか||1||||||122||198||187|
17723|ikaga desu ka|いかがですか||1||||||160||199||188|
17724|dearu|～である||1||||||123||200||189|
17725|deatta|～であった||1||||||751||201||190|
17726|ga tsuiteimasu|がついています||1||||||124||202||191|
17727|ga hatteimasu|がはっています||1||||||125||203||192|
17728|ka nanika wo|か何かを||1||||||126||204||193|
17729|ka dareka wo|か誰かを||1||||||127||205||194|
17730|ka dokoka wo|かどこかを||1||||||128||206||195|
17731|darou|～だろう||1||||||129;130|likely, presumptive|207;208|probable, présomptif|196;197|probable, presunto
17732|deshou|～でしょう||1||||||131;132|likely, presumptive|209;210|probable, présomptif|198;199|probable, presunto
17733|no hoka|～のほか||1||||||133||211||200|
17734|sugiru|～すぎる||1|sugimasu, suginai, sugimashita, sugita|||||134||212||201|
17735|na n da|なんだ||1|bakkari ni, bakashi ni, bakkashi ni, nanda|||||137||213||202|
17736|dou sureba ii desu ka|どうすればいいですか||1|ba ii desu ka, dou sureba, ba yokatta, nakereba ii desu, nakereba yokatta desu, baii|||||141|it will be fine if, it will be enough if, you should do|214|ça ira si, ça suffira si, tu devrais faire|203|estará bien si, será suficiente si, deberías hacer
17737|dou shitara ii desu ka|どうしたらいいですか||1|tara yokatta da, tara yokatta desu|||||143||215||204|
17738|tatoe …temo|たとえ...ても||1|tatoe demo|||||6204||216||205|
17739|sore ni shite mo|それにしても||1||||||170||217||206|
17740|naide|～ないで||1|do not do|||||172;173;174||218;219;220||207;208;209|
17741|ja nakute|～じゃなくて||1||||||178||221||210|
17742|mata wa|～又は||1|mata ha|||||179||222||211|
17743|to issho ni|～と一緒に||1||||||180|altogether with|223|tout à fait avec|212|en conjunto con
17744|uchi ni|～内に||1||||||188;652|when, during|224;321|quand, pendant|213;310|cuando, durante
