α|17554|1.CEB1
δ|17607|1.CEB4
←↑↓|16669|1.E28690E28691E28693
↑↓|16669|1.E28691E28693
→←↑↓|16669|1.E28692E28690E28691E28693
↓|16669|1.E28693
〃|17586|1.E38083
々|10163;10203;10753;10913;10922;11599;11629;12035;121;12154;12158;12297;12407;12552;12621;12766;12791;13477;13584;136;13913;13922;14099;14175;14184;14477;14478;14747;14790;15166;15897;15986;16060;16179;16216;16409;16557;16564;16862;1692;17015;17306;20007;20481;20944;21501;22118;22361;22444;23168;23329;3700;3726;3729;3731;390;391;4188;4232;4540;4591;4686;4816;4975;5036;5064;5115;5142;5521;5525;5684;5701;5751;5852;6078;6191;634;6398;657;6610;6932;6947;6978;6986;7207;7224;7297;7308;7416;749;7763;7912;7962;8476;8618;9164;9359;9878|1.E38085
々お手て御手手|17238|1.E38085E3818AE6898BE381A6E5BEA1E6898BE6898B
々しい|10649;14291;14448;14468;16000;231;5367;7734;8218;9134|1.E38085E38197E38184
々しい水水しい|14291|1.E38085E38197E38184E6B0B4E6B0B4E38197E38184
々しい華華しい花花しい|7734|1.E38085E38197E38184E88FAFE88FAFE38197E38184E88AB1E88AB1E38197E38184
々する|20007;20481;20944;21501;22118;22361;22444;23168;23329|1.E38085E38199E3828B
々する刺刺する|22118|1.E38085E38199E3828BE588BAE588BAE38199E3828B
々と|403|1.E38085E381A8
々に|13899;420;6192;8708|1.E38085E381AB
々も呉呉も|13928|1.E38085E38282E59189E59189E38282
々人|13586|1.E38085E4BABA
々代代世世|5751|1.E38085E4BBA3E4BBA3E4B896E4B896
々件|13274|1.E38085E4BBB6
々個個|1692|1.E38085E5808BE5808B
々其々|6947|1.E38085E585B6E38085
々其れ其れ其其夫夫夫々其々|6947|1.E38085E585B6E3828CE585B6E3828CE585B6E585B6E5A4ABE5A4ABE5A4ABE38085E585B6E38085
々処処|4591|1.E38085E587A6E587A6
々刺刺|12552|1.E38085E588BAE588BA
々屡数|7416|1.E38085E5B1A1E695B0
々弥々愈愈弥弥|12626|1.E38085E5BCA5E38085E68488E68488E5BCA5E5BCA5
々後日|4714|1.E38085E5BE8CE697A5
々愈愈弥弥|12626|1.E38085E68488E68488E5BCA5E5BCA5
々日|15405|1.E38085E697A5
々本本元元本々|4686|1.E38085E69CACE69CACE58583E58583E69CACE38085
々浦々|17306|1.E38085E6B5A6E38085
々澹澹|16216|1.E38085E6BEB9E6BEB9
々的|11086|1.E38085E79A84
々緊緊緊々|12158|1.E38085E7B78AE7B78AE7B78AE38085
々草|10747|1.E38085E88D89
々蜿蜿蜿蜒|3731|1.E38085E89CBFE89CBFE89CBFE89C92
々遙遙遥遥|657|1.E38085E98199E98199E981A5E981A5
々除除|12766|1.E38085E999A4E999A4
〆|15459|1.E38086
〇|3042|1.E38087
〇コ|1017|1.E38087E382B3
〜|21|1.E3809C
ぁ|3667|1.E38181
ぁかな〜|21|1.E38181E3818BE381AAE3809C
ぁ噫|9621|1.E38181E599AB
あ|10507;17500;17521;3633;3654;3664;3673;400;599;874|1.E38182
あぁ噫|9621|1.E38182E38181E599AB
ああ|3633;3654;400|1.E38182E38182
あい|3118;4183|1.E38182E38184
あいだ|7329|1.E38182E38184E381A0
あいつら|3694|1.E38182E38184E381A4E38289
あいつ等|4624|1.E38182E38184E381A4E7AD89
あい変らずあい変わらず相変らず|132|1.E38182E38184E5A489E38289E3819AE38182E38184E5A489E3828FE38289E3819AE79BB8E5A489E38289E3819A
あい変わらず相変らず|132|1.E38182E38184E5A489E3828FE38289E3819AE79BB8E5A489E38289E3819A
あい意味合|6286|1.E38182E38184E6848FE591B3E59088
あい昧|10587|1.E38182E38184E698A7
あう|10942;17701;19229;19271|1.E38182E38186
あう廻り合う|19256|1.E38182E38186E5BBBBE3828AE59088E38186
あう話合う|19212|1.E38182E38186E8A9B1E59088E38186
あう遣り合う|19290|1.E38182E38186E981A3E3828AE59088E38186
あえず|93|1.E38182E38188E3819A
あお向け|10644|1.E38182E3818AE59091E38191
あかなーかなぁかな〜|21|1.E38182E3818BE381AAE383BCE3818BE381AAE38181E3818BE381AAE3809C
あからさま|560|1.E38182E3818BE38289E38195E381BE
あがり|5533|1.E38182E3818CE3828A
あがる|18939;18972;19065|1.E38182E3818CE3828B
あがる召上がる|18645|1.E38182E3818CE3828BE58FACE4B88AE3818CE3828B
あがる浮かび上る浮び上るうかび上がる|19087|1.E38182E3818CE3828BE6B5AEE3818BE381B3E4B88AE3828BE6B5AEE381B3E4B88AE3828BE38186E3818BE381B3E4B88AE3818CE3828B
あがる浮び上がる浮びあがる浮かび上る浮び上るうかび上がる|19087|1.E38182E3818CE3828BE6B5AEE381B3E4B88AE3818CE3828BE6B5AEE381B3E38182E3818CE3828BE6B5AEE3818BE381B3E4B88AE3828BE6B5AEE381B3E4B88AE3828BE38186E3818BE381B3E4B88AE3818CE3828B
あき地|5373|1.E38182E3818DE59CB0
あくる日|10609|1.E38182E3818FE3828BE697A5
あけ|9026|1.E38182E38191
あげ|14283;9543|1.E38182E38192
あげする|22465|1.E38182E38192E38199E3828B
あげる|19545;19558;19698;19749;19944|1.E38182E38192E3828B
