'ab|14311;19016;20137;646;7115;9297
'abimer|19453
'abord|146;15894;23063;93
'abouti|19373
'abr|10618;21640
'abri|16108
'absent|19352
'absorb|15309
'absord|10832
'abste|11303;18618
'absten|19162;20353;21441;22118;22694;22701;910
'absteni|18131
'abstent|3976
'ac|11289;18353;19030;20106;23087;4080;4318
'acc|19732;7163;8696
'acce|1842;20890
'acco|19188;5939
'accompa|17635
'accor|20232;20512;3669
'accord|17781;19188;246
'accout|19469
'accr|18691;18959
'accro|18329
'accroc|19128
'accrou|18597;20020;21236
'accu|18768;18867
'accumu|18832
'accumul|23307
'accusé|22851
'accè|3375
'accès|13005;3532
'achat|13205;2811
'ache|18499
'achi|4100
'achèvem|18703
'acier|16307
'acquit|22980
'act|14
'acti|11;22337;65
'actio|1328;14;22539
'action|14;69
'actu|7527
'acérer|19014
'ada|18558
'adapte|19188;23302
'adh|20271
'adjec|25
'admi|18955
'adminis|8910
'admira|21041
'adosse|18871;19898
'adouci|18466;18615
'adre|5623
'adres|20413
'adress|16700;19749
'adv|18025
'af|19558;20638;4595
'aff|15124;19453;20119
'affa|10703;15672;18783;19893;19953;5058
'affai|19026;22985
'affaib|19027;19114
'affaibl|18666
'affair|1078;7727
'affaire|16599;4926;8335
'affe|6151
'affich|16225
'afficha|13270
'affil|5469
'afflig|18518
'affr|19250
'affût|18727
'ag|21836
'ageno|23073
'agenou|18389
'agird|19992
'agr|4050
'agrafe|5605
'agripp|18925
'ai|1397;14799;17991;18699;536;9447
'aicom|119
'aide|5538
'aient|29
'aigui|19014
'aiguill|20270;2783
'ailleu|5309;5827;5829
'aimera|4907
'aipeur|305
'air|12797;1375;19014;19121;19359;3049;3087;9423
'airle|19588
'airm|19853
'airmo|18666
'airun|18025
'ais|18499;21331
'aise|18450;19068;19716;23331
'aistu|17936;17937
'ajo|18174
'al|11928;20020;23317;8806
'alarme|13292
'alc|18071
'alco|18071;19855
'alcool|22153
'aligne|21786
'alim|20303
'aliter|8511
'alli|18489
'allier|21169
'allon|18501
'allong|18000;18885;19341;20021
'allonge|18886
'allume|18370
'alp|1743
'alpini|23220
'alté|18771
'am|18471;18832;19662;20401;22601
'ambassa|13824
'ambianc|18687
'ambit|18380
'amende|18010
'ami|18384
'amiabl|22138
'amiss|7923
'amitié|19384
'amo|12259;18380;18768
'amonce|19000
'amour|19643
'amu|1211;20491
'amuse|19694
'amuser|18482;19937
'amélio|18073;18703;19046;21539
'amér|6487
'amériqu|22063
'an|10419;14765;15041;15190;1552;16072;4851;6075;810
'anc|10334
'anci|10334;14700
'ancr|16252
'ander|10284;3545;4954
'angoi|20225
'ann|10320;1367;14796;21251;680;684
'annee|11064
'anné|10419;2098
'année|13057;1826;684;719
'ansd'|810
'antarc|5549
'ap|14673;14845;18720;18871;19898
'apai|18466;18615
'apaiser|21751
'apas|12661;17898
'app|10832;11791
'appa|12069;18361;550;7044
'appare|18411
'apparen|20500
'appart|3316
'appel|22120
'appelc|14153
'appelle|17753
'appels|21247
'appl|1440;18908
'appliqu|20007
'appr|18985
'appro|18384
'approc|18871;18941;19024;19643
'approch|20242
'approf|18529;18936;21697
'approp|21136
'appréc|23243
'apprêt|18710;6797
'appuye|1237;19547;20272
'appuyer|19030
'appét|11459
'apr|14845;15;4771
'après|3577
'aprèsg|6879
'aqu|28
'ar|11829;16376;18358;19045;19190;19459;20926;21053;21236;23036;3313;8658
'arbr|7221
'arbres|10785
'arc|16534;19064
'arctiq|6624
'arg|1213;16117;19366;20027;2224
'arge|1513;18045;18053;18334;18635;18710;19368;20637;3072;4023
'argen|101;10710;10964;13118;18334;18447;21053;8590
'argent|18001;19186;21136;22196;22493;23191;2830;3072;6717;8199
'argentt|19034
'armer|20371
'armée|11735
'arr|13019;21563
'arran|10941
'arri|20666;5090
'arrive|4779
'arrivé|9731
'arriè|6485
'arrière|9612
'arrogan|3677
'arrê|18703
'arrêt|22177
'arrête|18702;18966;20757;21480;22297;23082;431
'arrêter|18580
'art|19332;778
'artcomp|18685
'artic|16466
'articl|23
'artm|3320
'as|13810
'asc|14739
'asp|20479
'aspect|22008
'ass|18785;18988
'assa|18368
'assaut|20528
'asse|18353;18687
'assemb|19293
'assembl|18769
'asseo|21683;5064
'asseoi|15262;18691;19368;19447;20437;20918;21808;22790;23073
'asseoir|18269
'assiett|20178
'assist|22421
'assoc|23317
'associ|19101;22418;6186
'assomb|18760;19548
'assort|19276
'assu|19576
'assure|17950;19901
'assé|2765
'at|18391;23237
'att|19186
'atta|6590
'attache|19681
'attar|18580;21905
'atte|19076;19379
'atten|4902
'attend|19185
'attent|13133;18272;22726
'attenti|18238;18273
'atti|21889
'attire|18301
'attr|19781
'au|11975;14362;18621;19188;19614;21034;399;664;666;67;68;86
'aub|18049;19440
'aube|14225
'aubou|22380
'aud|69
'audi|13172;67;85
'audit|87
'audite|4556;66;67;85
'auditeu|67;85
'aumo|3749
'aumô|21910
'aurte|13228
'aut|12174;1844;18511;18768;19253;21271;4903;9803
'autant|12391;8875
'auteur|19392
'autogér|21548
'automn|13872;15413;8193
'auton|22126
'autone|22134
'autop|22134
'autoé|21823
'autr|12190;19614;20631;3236
'autre|10816;11975;14362;16102;18009;19332;19868;20631;21915;22393;3;3334;3598;4080;4186;4530;4537;4903;6493;650;73;7783;829;8472;8473;8705;8873
'autrec|650
'autred|16342
'autrep|3334
'autreq|1860
'autres|102;6430
'av|20015;23243;3334;6344;9034
'ava|22926;23056
'avan|10647;1183;18703;6342;8742
'avanc|18920;21296;22530
'avance|17777;20365;20726;22726
'avant|21197;23056
'ave|671
'aveni|6206
'avenir|19621;20764;6206
'aventu|20330
'avions|3952
'avisp|19586
'avisr|18226
'avo|11494
'avoir|18334
'avér|18684
'ayant|84
'aérop|9276
'd'|7690
'ea|14074;22049
'eau|11128;11817;13225;14232;18757;18951;18952;19034;2050;20760;21085;2145;21734;21768;22043;22536;3474;3929;7505
'eaua|18314
'eaual|18521
'eauau|18049
'eauc|19633;2145
'eaud|22922;7180
'eaudé|18703
'eauea|16793
'eauf|19617
'eaufai|18320
'eauo|8347
'eauri|22823
'ed|6347
'edo|8590
'ef|19657;19770
'eff|14;19366;22513
'effac|18273;19361
'effet|11370
'effilo|20649
'effon|19453;21927
'effond|18559;18634;19366;19770;20752;21554;22031;22051;22199
'effondr|22829
'efforc|18510;18879;19498;19737
'effort|4830
'effroi|9569
'em|11519;14;6704
'emb|19533
'emball|13953
