MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
2|indicates direction or goal (e.g. "to"), toward|PP||X e @ X = noun|764||
3|too, also, in addition, (not) either (in a negative sentence)|PP||X mo @ X = phrase|765||
4|even, as much as, as many as, as far as, as long as, no less than, no fewer than|PP|Used for emphasis or to express absence of doubt regarding a quantity, etc.|X mo @ X = phrase|1354||
5|both A and B, A as well as B|PP|Both X and Y.|X mo Y mo @ X/Y = noun|766;1262||
6|neither A nor B (in a negative sentence)|PP|Neither X nor Y.|X mo Y mo @ X/Y = noun|||
7|even if, even though, although, in spite of|PP|Often as -temo, -demo, etc.|X mo @ X = phrase|||
8|and|PP||X to @ X = noun|767||
9|with|PP||X to @ X = noun|768||
10|object marker|PP|Used in phrases such a "to imasu" or "to moshimasu".|X to @ X = phrase|||
11|if, when|CO|ME#0101;0102||||
12|particle used for quoting (with speech, thoughts, etc.)|PP|||||
13|?, interrogation mark|PP|||||
14|such things as …, and ... and|PP|Expresses a list of items where some are not listed, similar to "and … etc..".|X ya Y @ X/Y = noun|||
15|the minute (that) ..., no sooner than ..., as soon as|PP|||||
16|yes?, no?, is it?, isn't it?|PP|||||
17|et cetera, etc., and the like, and so forth|PP||X nado @ X = list of nouns|769;1291||
18|or something|PP|||||
19|the likes of|PP|||||
20|made of, indicates possessive 's|PP||X no @ X = noun|770||
21|connection between elements (e.g. in a phone number)|PP||X no Y @ X/Y = element|772||
22|feminine tone|PP|Used at the end of a sentence.|X no @ X = phrase|773||
23|(at sentence-end, rising tone) indicates question|PP|Alternative to "ka", used in casual speech.|X no @ X = phrase|||
24|descriptor|PP|Used to indicate a specific type of the subject.|X no Y @ Y = noun, X = descriptor|774||
25|in fact, indeed|PP|Used to provide emphasis to the sentence, politer than "n".|X no da @ X = verb (any tense)|775;776;777||
26|polite softener|PP|Used as a softener to the sentence, politer than "n".|X no @ X = verb|778;779||
27|nominalizes verbs and adjectives|VC|Used to make a noun out of a verb (all plain tenses), similar in function to "koto" in forming a verb gerund.|X no @ X = verb plain form|867;1387;1388;1389||
28|abbreviation for possessive indicator|PP||X no @ X = phrase|1479||
29|substitutes for "ga" in subordinate phrases|PP|||||
30|(at sentence-end, falling tone) indicates a confident conclusion|PP|||||
31|(at sentence-end) indicates emotional emphasis|PP|||||
32|transforms into pronoun for use as subject|PP|This is a combination of two particles: a possessive marker "no" and a subject indicator "ga". It transforms the phrase (adverb, adjective, verb) into a noun for use as the subject of an enclosing phrase. The enclosing phrase in turn requires the "ga" subject marker due to the grammar rules governing it.|X no ga @ X = phrase|771;1453;1480||
33|description/opinion of an action|CO|[description Y/opinion Y] of an action X. Conveys a speaker' s opinion on an action. The "no" transforms the relevan verb into a noun, the "ga" indicates the object verb, and the "Y da" corresponds to the describing state of being (to like, to be good at, etc..).|X no ga Y da @ X = verb plain form, Y = suki, kirai, ii, warui, jouzu, etc..|1387||
34|converts to noun for use as subject|PP|This is a combination of two particles: a possessive marker "no" and an object indicator "wo". It transforms the phrase (adverb, adjective, verb) into a noun for use as the object of an enclosing phrase. The enclosing phrase in turn requires the "wo" subject marker due to the grammar rules governing it.|X no wo @ X = phrase|1455||
35|in fact, indeed|PP|Used to provide emphasis to the sentence, casual form of "no".|X n @ X = verb|780;781;782||
36|softener, emphasizer|PP|Used as a softener/emphasizer to the sentence, casual form of "no".|X n @ X = verb|783;784;1481;1482||
37|yes, yeah, uh huh|OI|||||
38|huh?, what?|OI|||||
39|not|Sx|||||
40|'s|PP|Abbreviation of "no" as a possessive marker.||||
41|at (place, time), in, on, during|PP|Abbreviation of the "ni" particle.||||
42|verb object marker, indicates direct object of action|PP||X wo Y @ X = object, Y = verb|785;1343||
43|gerund object marker, indicates subject of causative expression|PP||X wo Y ga … @ X = object, Y = verb gerund|786;787;1505||
44|object marker for verbs such as "to leave", indicates point of departure or separation of action|PP|Used for "leaving" verbs: deru, oru, etc..|X wo Y @ X = object, Y = verb|788;789;1507||
45|object marker for verbs such as "going through", indicates an area traversed|PP|Used for "going through" verbs: magaru, etc..|X wo Y @ X = object, Y = verb|1504||
46|at, indicates time (period) over which action takes place|PP||X wo @ X = temporal noun|1506||
47|indicates object of desire, like, hate, etc.|PP||X wo @ X = object|1508||
48|subject marker, topic marker particle|PP||X wa @ X = subject/topic|790;791||
49|choice marker, indicates contrast with another option (stated or unstated)|PP|Out of X, Y is … . Presents the set from which a choice may be made.|X wa Y … @ X/Y = noun|792||
50|verb object marker|PP|Used instead of wo/ga when making a general statement (as opposed to wo/ga).|X wa @ X = object|793||
51|verb object marker|PP|Used instead of wo/ga when comparing statements.|X wa @ X = object|794;795;796||
52|verb object marker|PP|Used instead of wo/ga in distinct cases such as "aru" in negative tenses.|X wa Y @ X = object, Y = verb|||
53|you know, certainly, hear me out, indicates emotion or admiration, indicates emphasis|PP|Used at the end of a sentence to provide emphasis when giving information. Usually said by a female character.|X wa @ X = phrase|||
54|wah!|OI|||||
55|boo!|OI|||||
56|indicates location of action|PP|Is differentiated from the use of "ni" for an action taking place at a location by the short-term aspect of the action, e.g. eating at a restaurant.|X de @ X = noun|797;798;1317||
57|indicates means of action, cause of effect, by, by means of|PP||X de @ X = noun|799||
58|substance of a material|PP||X de @ X = noun|800;211||
59|because of, due to, and then, so|PP||X de @ X = noun|801;163;1385||
60|indicates limits in space|PP||X de @ X = noun|802||
61|indicates time of action|PP||X de @ X = noun|803||
62|indicates limits in price or quantity|PP||X de @ X = noun|804||
63|and, indicates continuing action|CO|X and Y.|X de Y @ X/Y = phrase|977||
64|indicates certainty, emphasis, etc.|PP|||||
65|even|PP||X datte|||
66|too, as well, also|PP||X datte|||
67|they say, I hear, you mean|PP||X datte|||
68|after all, because|PC|It is X after all, because X. Used colloquially at the end of a phrase, is used by the speaker to indicate that the phrase is the cause or root of another.|datte X @ X = phrase|||
69|but|PC|But X … . Used colloquially (casual speech) only.|datte X @ X = phrase|||
70|you know, certainly, hear me out|PP|ME#0051;0052||||
71|hey, you|PP|||||
72|hey|PP|||||
73|hey, hold on|PP|||||
74|yo, hey|PP|||||
75|...isn't that right?, request for confirmation|PP|Used at the end of sentence.|X yone|806||
76|na-adjective marker|PP|Equivalent to "no" used to describe nouns.|X na @ X = na-adj.|807||
77|please|A|Dialect.||||
