Hiragana|Katakana|Waapuro|Modified Hepburn|Nihon-shiki|Kunrei-shiki
んやあ|ンヤー|n'yaa|n'yā|n'yâ|n'yâ
んゆう|ンユー|n'yuu|n'yū|n'yû|n'yû
んよお|ンヨー|n'yoo|n'yō|n'yô|n'yô
んよう|ンヨー|n'you|n'yō|n'yô|n'yô
んあ|ンア|n'a|n'a|n'a|n'a
んう|ンウ|n'u|n'u|n'u|n'u
んお|ンオ|n'o|n'o|n'o|n'o
んえ|ンエ|n'e|n'e|n'e|n'e
んい|ンイ|n'i|n'i|n'i|n'i
んや|ンヤ|n'ya|n'ya|n'ya|n'ya
んゆ|ンユ|n'yu|n'yu|n'yu|n'yu
んよ|ンヨ|n'yo|n'yo|n'yo|n'yo
っきゃあ|ッキャー|kkyaa|kkyā|kkyâ|kkyâ
っきゅう|ッキュー|kkyuu|kkyū|kkyû|kkyû
っきょお|ッキョー|kkyoo|kkyō|kkyô|kkyô
っきょう|ッキョー|kkyou|kkyō|kkyô|kkyô
っしゃあ|ッシャー|sshaa|sshā|ssyâ|ssyâ
っしゅう|ッシュー|sshuu|sshū|ssyû|ssyû
っしょお|ッショー|sshoo|sshō|ssyô|ssyô
っしょう|ッショー|sshou|sshō|ssyô|ssyô
っちゃあ|ッチャー|cchaa|tchā|ttyâ|ttyâ
っちゅう|ッチュー|cchuu|tchū|ttyû|ttyû
っちょお|ッチョー|cchoo|tchō|ttyô|ttyô
っちょう|ッチョー|cchou|tchō|ttyô|ttyô
っひゃあ|ッヒャー|hhyaa|hhyā|hhyâ|hhyâ
っひゅう|ッヒュー|hhyuu|hhyū|hhyû|hhyû
っひょお|ッヒョー|hhyoo|hhyō|hhyô|hhyô
っひょう|ッヒョー|hhyou|hhyō|hhyô|hhyô
っにゃあ|ッニャー|nnyaa|nnyā|nnyâ|nnyâ
っにゅう|ッニュー|nnyuu|nnyū|nnyû|nnyû
っにょお|ッニョー|nnyoo|nnyō|nnyô|nnyô
っにょう|ッニョー|nnyou|nnyō|nnyô|nnyô
っみゃあ|ッミャー|mmyaa|mmyā|mmyâ|mmyâ
っみゅう|ッミュー|mmyuu|mmyū|mmyû|mmyû
っみょお|ッミョー|mmyoo|mmyō|mmyô|mmyô
っみょう|ッミョー|mmyou|mmyō|mmyô|mmyô
っぎゃあ|ッギャー|ggyaa|ggyā|ggyâ|ggyâ
っぎゅう|ッギュー|ggyuu|ggyū|ggyû|ggyû
っぎょお|ッギョー|ggyoo|ggyō|ggyô|ggyô
っぎょう|ッギョー|ggyou|ggyō|ggyô|ggyô
っりゃあ|ッリャー|rryaa|rryā|rryâ|rryâ
っりゅう|ッリュー|rryuu|rryū|rryû|rryû
っりょお|ッリョー|rryoo|rryō|rryô|rryô
っりょう|ッリョー|rryou|rryō|rryô|rryô
っじゃあ|ッジャー|jjaa|jjā|zzyâ|zzyâ
っじゅう|ッジュー|jjuu|jjū|zzyû|zzyû
っじょお|ッジョー|jjoo|jjō|zzyô|zzyô
っじょう|ッジョー|jjoo|jjō|zzyô|zzyô
っぢゃあ|ッヂャー|ddyaa|jjā|ddyâ|zzyâ
っぢゅう|ッヂュー|ddyuu|jjū|ddyû|zzyû
っぢょお|ッヂョー|ddyoo|jjō|ddyô|zzyô
っぢょう|ッヂョー|ddyou|jjō|ddyô|zzyô
っびゃあ|ッビャー|bbyaa|bbyā|bbyâ|bbyâ
っびゅう|ッビュー|bbyuu|bbyū|bbyû|bbyû
っびょお|ッビョー|bbyoo|bbyō|bbyô|bbyô
っびょう|ッビョー|bbyou|bbyō|bbyô|bbyô
っぴゃあ|ッピャー|ppyaa|ppyā|ppyâ|ppyâ
っぴゅう|ッピュー|ppyuu|ppyū|ppyû|ppyû
っぴょお|ッピョー|ppyoo|ppyō|ppyô|ppyô
っぴょう|ッピョー|ppyou|ppyō|ppyô|ppyô
