Index|Romaji construction|Kana construction|Alternate Spellings|Common|Extra keywords Jap|Preposition|Kanji Root|Latin Root|Exception index|MeaningEN|Extra keywordsEN|MeaningFR|Extra keywordsFR|MeaningES|Extra keywordsES|Hiragana First Char|Frequency
2|monda|もんだ|mono da|1||||||435|||||||0
3|dochirademo|どちらでも||1||||||436|||||||0
4|donodemo|どのでも||1||||||437|||||||0
5|donnademo|どんなでも||1||||||438|||||||0
6|ikutsudemo|いくつでも||1|ikutsu|||||439|||||||0
7|darenimo|誰にも||0||||||440;441|||||||0
8|doredemo|どれでも||1||||||442|||||||0
9|kuroku|黒く||1||||||443|||||||0
10|wariai|割合|割り合い|1||||||444||520;521;522||514|||0
11|zutsu|ずつ|dutsu;づつ|0||||||445||523||515;516|||0
12|dochiraka|どちらか||0||||||446|||||||0
13|donoka|どのか||1||||||447|||||||0
14|donnamo|どんなも||1||||||448;449|||||||0
15|minna no shuu|皆の衆||1|shuu|||||450|||||||0
16|minna|皆|mina; 皆んな|1||||||451||524;525||517;518|||2159
17|daredemo|誰でも||0|dare|||||452|||||||0
18|nanibito|何人||1||||||453|||||||0
19|nandemo minna|何でも皆||1||||||454|||||||0
20|kochira|此方|kocchi;kochi; kocchi|1||||||455;456;457;458;459;460;461|here|526;527;528;529;530||519;520;521;522;523|||0
21|kore|此れ|惟;是;維;之;是れ;之れ|1||||||462;463;464;465;466;467;468;469|here|531;532;533;534;535||524;525;526;527;528;529;530;531;532;533;534;535;536;537;538;539;540;541|||0
22|are|彼||1||||||470;471;472;473;474;475;476;477;478|over there|536;537;538;539;540;541;542||542|||81
23|achira|彼方|acchi|1||||||479;480;481;482;483;484;485|over there|543;544;545;546||543|||13079
24|sochira|其方|sonata;socchi;sochi|1||||||486;487;488;489;490;491;492|there|547;548;549;550;551||544|||0
25|sore|其れ|其|1||||||493;494;495;496;497;498;499|there|552;553;554;555||545|||0
26|hokani|ほかに||1||||||500|||||||0
27|kochira koso|こちらこそ||1||||||501||556||546|||0
28|motto|もっと||0||||||502||557||547|||4906
29|mou|もう||0||||||503||558;559;560;561||548;549;550;551|||1269
30|donomo|どのも||1||||||504|||||||0
31|dochiramo|どちらも||1||||||505|||||||0
32|ikutsumo|いくつも||1||||||506|||||||0
33|daremo|だれも||1||||||507|||||||0
34|nanimo|何も||1||||||508;509||562;563||552;553|||4968
35|tokuni|特に||1||||||510||564||554|||232
36|donnaka|どんなか||1||||||511|||||||0
37|dareka|だれか||1||||||512|||||||0
38|doreka|どれか||0|dore;nani|||||513|||||||0
39|nanika|何か|nanka|1|dore;nani|||||514||565||555|||0
40|kitto|屹度|急度|1||||||515;516;517;518||566;567;568;569||556|||0
41|sono|其の||0||||||519||570;571||557|||0
42|sonna|そんな||0||||||520||572||558|||3284
43|anna|あんな||0||||||521||573||559|||18956
44|kono|此の|斯の|1||||||522||574||560|||0
45|konna|こんな||0||||||523||575||561|||10115
46|shosen|所詮||0||||||524||||562|||0
47|douse|どうせ||0||||||525;526||576;577||563|||0
48|toriaezu|取りあえず|取り敢えず;取敢えず|1||||||527||578||564|||0
49|mochiron|勿論||1||||||528||579||565|||0
50|moshi|もし||0||||||529|||||||4011
51|tashikani|確かに|慥かに|0||||||530||||566|||0
52|mattaku|全く||1||||||531;532;533||580||567;568|||1065
53|jitsuni|実に||1||||||534||||569|||6590
54|tabun|多分||1||||||535||581;582||570;571|||14862
55|uun|ううん||1||||||536||||572|||0
56|iie|否|ie;ina|1||||||537||583;584;585||573|||6142
57|ichiou|一応||1|一往;ichou|||||538||586;587;588;589||574|||8799
58|ookata|大方||1||||||539||590||575|||19989
59|douzo|どうぞ||0||||||540||591;592;593||576|||0
60|sou|そう||0||||||541;542;543;544;545;546|looks like;appears to be;feels like;sounds like;seems to be;sou ni;sou mo nai;da sou|594;595||577;578|||2435
61|mashite|況して|増して|1||||||547||596||579|||0
62|ittai|一体||1|itsutai|||||548;549;550;551;552||597;598;599;600;601||580;581;582;583;584|||3996
63|sezuni|せずに||0||||||553|||||||0
64|un|うん||0||||||554||649;650;651||585|||18876
65|hai|はい||0||||||555||652;653;654;655;656|||||0
66|ee|ええ||0||||||556;557||657;658;659;660;661||586;587;588;589;590|||18912
67|shoushou|少々|小小;少少;小々|1||||||558||662||591|||13617
68|danjite|断じて||1||||||559||663||592|||0
69|zettai|絶対||1||||||560||664;665||593;594|||2999
70|sokkuri|そっくり||0||||||561||666;667||595|||11480
71|sukkari|すっかり||0||||||562;563||668||596|||15259
72|zenbu|全部||1||||||564||669||597|||4626
73|subete|全て|subete no;総て; 総べて; 惣て; 凡て; 渾て|1|全ての|||||565;566;567||670;671||598|||177
74|kotogotoku|悉く|尽く|1||||||568||672||599|||0
75|kanarazu|必ず||1||||||569||673||649|||3347
76|kurai|位|gurai|1||||||570;571||674;675;676;677;678;679||650;651;652;653;654;655|||90
77|hodo|程||1||||||572;573;574||680||656;657|||846
78|aikawarazu|相変わらず|あい変らず;あい変わらず;相変らず|1||||||575||681||658|||14689
79|yatto|やっと||0||||||576|||||||11044
80|zehi|是非||1||||||577||682;683||659|||10636
81|nakanaka|中々|中中; 仲々|1||||||578;579||684;685;686;687||660|||0
82|sappari|さっぱり||0||||||580;581;582;583||688;689;690;691;692;693||661|||0
83|kanari|可也|可成;可なり; 可成; 可成り|1||||||584||694||662|||0
84|kotoni|ことに||1||||||585|||||||0
85|mushouni|無性に||1||||||586||695||663|||0
86|soutou|相当||1||||||587;588;589||696;697;698;699||664|||1141
87|chotto|一寸|choto;choito;鳥渡;choto|1||||||590;591||700;701;702;703||665;666;667|||0
88|sukoshi|少し|寡し;些し|1||||||592||704;705;706||668;669;670|||2947
89|toutou|到頭||1||||||593||707||671|||0
90|daitai|大体||1||||||594;595;596;597||708;709;710||672|||10606
91|nakaba|半ば||1||||||598;599||711||673|||2326
92|dake|だけ||1||||||600|||||||183
93|konnani|こんなに||0||||||601||712||674|||0
94|sonnani|そんなに||0||||||602||713||675|||0
95|shibaraku|暫く|須臾;暫らく;姑く|1||||||603||714;715;716||676;677;678|||2289
96|ooku|多く||0||||||604||||679|||136
97|ooi|多い||1||||||605;606||717;718;719||680|||67
98|hotondo|殆ど|殆んど;幾ど|1||||||607||720||681|||0
99|taitei|大抵||1||||||608;609||721;722;723;724;725||682|||7015
100|jitto|じっと||1||||||610|||||||0
101|ikana|如何な||0||||||611;612|||||||0
102|futsuu|普通||1||||||613;614||726;727;728||683;684|||891
103|nantomo|何とも|nanitomo|1||||||615;616||729;730||685|||0
104|chittomo|些とも||1||||||617||731||686|||0
105|zenzen|全然||1||||||618||732;733||687;688|||0
106|donnani|どんなに||0|donna|||||619||734||689|||0
107|ijou|以上|已上|1||||||620;621||735;736;737;738;739||690;691;692;693;694|||3196
108|taishite|大して||1||||||622||740||695|||0
109|amari|余り|anmari; 餘り|1||||||623;624;625;626||741||696;697;698;699;700|||980
110|shika|しか||1||||||627||||701|||591
111|tatta|たった||0||||||628||742||702|||0
112|nomi|のみ||0||||||629||||703|||112
113|juubun|十分||1||||||630;631;632||743;744||704;705;706|||2114
114|osoraku|恐らく||1||||||633||745||707|||3724
115|maru de|丸で||1||||||634;635||746;747||708|||0
116|kekkou|結構||1||||||636;637||748;749;750;751;752||709|||0
117|sokosoko|そこそこ||0||||||638;639|||||||18666
118|wari to|割と||1||||||640||753||710|||17253
119|zatto|ざっと||0||||||641||754;755||711|||0
120|nanitonaku|何と無く|何となく|1||||||642|||||||0
121|sorehodo|其れ程||1||||||643|||||||0
122|soremade|それまで||1||||||644;645|||||||0
123|annani|あんなに||0||||||646||756||712|||0
124|totemo|迚も|tottemo|0||||||647||757;758||713|||0
125|soreha|それは|sorya;soryaa;sorewa|1||||||648;649||||714;715|||0
126|zuibun|随分||1||||||650||759||716|||0
127|taihen|大変|大へん|1||||||651;652||760;761;762;763;764||717;718;719;720;721|||4109
128|oini|大いに||1||||||653|||||||5006
129|morenaku|漏れなく||0||||||654|||||||0
130|kassai|喝采||0||||||655|||||||19362
